city,lat,lng,country,population,lat_rad,lng_rad,airport_id,own_airport,Linked
Qujing,25.5102,103.8029,China,5855055.0,0.4452369828422575,1.8117023781184216,[3382],0.0,False
Xiangyang,32.0654,112.1531,China,5844000.0,0.5596468059689896,1.9574408613184524,[6360],0.0,False
Sūrat,21.17,72.83,India,5807000.0,0.3694862026471996,1.2711232942274702,[3022],0.0,False
Baghdad,33.35,44.4167,Iraq,5796000.0,0.5820673055401089,0.7752176578705654,[4130],1.0,False
Qingdao,36.1167,120.4,China,5775000.0,0.6303553299550361,2.101376419401173,[3390],1.0,False
Singapore,1.3,103.8,Singapore,5745000.0,0.022689280275926284,1.8116517635701141,"[3315, 3316, 12004]",1.0,False
Dallas,32.7936,-96.7662,United States,5743938.0,0.5723562935820125,-1.6888887946433369,"[3502, 6948, 8188]",1.0,False
Changde,29.0397,111.6839,China,5717200.0,0.5068383787913974,1.9492517764680948,[6352],1.0,False
Dazhou,31.2152,107.4947,China,5693000.0,0.544808016668534,1.8761364434435488,[6397],1.0,False
Suzhou,33.6333,116.9683,China,5690000.0,0.5870118233110088,2.0414819554604837,[9857],1.0,False
Philadelphia,40.0077,-75.1339,United States,5649300.0,0.6982660911501354,-1.3113339348641675,"[3750, 3752, 8504]",1.0,False
Jieyang,23.5533,116.3649,China,5634000.0,0.4110826347099804,2.030950638753949,[4302],0.0,False
Nairobi,-1.2864,36.8172,Kenya,5545000.0,-0.022451915497655052,0.6425813613652563,"[1147, 1148, 4059]",1.0,False
Nangandao,35.2992,113.8851,China,5516000.0,0.6160872633199823,1.9876699639629942,[3375],0.0,False
Ankara,39.93,32.85,Turkey,5503985.0,0.6969099703213358,0.5733406592801373,"[1681, 1682, 1683, 1684]",1.0,False
Tai’an,36.2001,117.0809,China,5499000.0,0.6318109345511993,2.043447196198229,[4108],0.0,False
Yulin,22.6293,110.1507,China,5487368.0,0.3949557924215528,1.9224923883765181,[6368],1.0,False
Dezhou,37.4513,116.3105,China,5470000.0,0.6536484941521524,2.0300011796408652,[4108],0.0,False
Houston,29.7863,-95.3889,United States,5464251.0,0.5198690069867871,-1.6648503748556192,"[3550, 3566, 3572, 4065, 4226, 9225]",1.0,False
Atlanta,33.7627,-84.4224,United States,5449398.0,0.5892702793630895,-1.4734488424356609,"[3682, 7497, 7654, 7712, 8306]",1.0,False
Rangoon,16.8,96.15,Burma,5430000.0,0.2932153143350474,1.678134075792548,[3239],0.0,False
Toronto,43.7417,-79.3733,Canada,5429524.0,0.7634366854196036,-1.3853254231732153,"[82, 144, 193, 194]",1.0,False
Suihua,46.6384,126.9808,China,5420000.0,0.8139936378621233,2.2162330468164155,[3400],0.0,False
Washington,38.9047,-77.0163,United States,5379184.0,0.6790151095006379,-1.344188012703709,"[3520, 3714, 9772]",1.0,False
Qiqihar,47.3398,123.9512,China,5367003.0,0.8262353772356116,2.163356551797996,[6413],1.0,False
Jinhua,29.1046,119.6494,China,5361572.0,0.5079710974759417,2.0882759780357034,[6394],0.0,False
Saint Petersburg,59.95,30.3167,Russia,5351935.0,1.0463248865706003,0.5291262333393649,[2948],0.0,False
Shantou,23.3735,116.6941,China,5319028.0,0.4079445327148946,2.036696262651515,[4302],1.0,False
Sydney,-33.865,151.2094,Australia,5312163.0,-0.5910557511878798,2.6391018899651137,"[3354, 3361]",1.0,False
Weinan,34.4996,109.4684,China,5300000.0,0.6021316106210357,1.9105840068901607,[7052],0.0,False
Suqian,33.9331,118.2831,China,5290000.0,0.5922443204084878,2.064429544465705,[4149],0.0,False
Guadalajara,20.6767,-103.3475,Mexico,5253000.0,0.3608764934471115,-1.80375414870484,[1804],1.0,False
Suzhou,31.304000000000002,120.6164,China,5250000.0,0.5463578690443051,2.1051533119024883,[9857],1.0,False
Fuzhou,26.0769,119.2917,China,5245000.0,0.4551277637133093,2.08203293530132,[3385],1.0,False
Zhaotong,27.3328,103.7144,China,5213521.0,0.4770473537891061,1.810157761730407,[6378],1.0,False
Pudong,31.2231,121.5397,China,5187200.0,0.5449458976794415,2.121267936886152,[3391],0.0,False
Yongzhou,26.4515,111.5953,China,5180235.0,0.46166576709128,1.9477054147508281,[8845],1.0,False
Belo Horizonte,-19.8917,-43.9478,Brazil,5159000.0,-0.3471756588189561,-0.7670338090079641,"[2528, 2537]",1.0,False
Zhangzhou,24.5093,117.6612,China,5140000.0,0.42776798235904623,2.053575341847552,[3383],0.0,False
Bozhou,33.8626,115.7742,China,5100000.0,0.5910138632858318,2.020640978862419,[7503],0.0,False
Melbourne,-37.8136,144.9631,Australia,5078193.0,-0.6599718220321278,2.530083388897792,"[3334, 3338, 3339]",1.0,False
Nanchang,28.6842,115.8872,China,5042565.0,0.5006337333005575,2.022613200917173,[3384],1.0,False
Xianyang,34.35,108.7167,China,5040000.0,0.5995205980600522,1.8974643669029196,[3379],0.0,False
Taizhou,32.4831,119.9,China,5031000.0,0.5669370462545701,2.092649773141201,[8876],0.0,False
Surabaya,-7.2458,112.7378,Indonesia,4975000.0,-0.12646306694100512,1.9676458014548632,[3928],1.0,False
Abidjan,5.3364,-4.0267,Côte D’Ivoire,4980000.0,0.0931377502034254,-0.07027917299005566,[253],1.0,False
Ji’an,27.1172,114.9793,China,4956600.0,0.4732844239218064,2.0067673566383157,[6964],0.0,False
Mianyang,31.4669,104.7385,China,4945000.0,0.5492010103958037,1.828031678600081,[6400],1.0,False
Shaoxing,30.0,120.5833,China,4912239.0,0.5235987755982988,2.1045756079200784,[3386],0.0,False
Alexandria,31.2,29.9167,Egypt,4870000.0,0.5445427266222308,0.5221449163313876,"[1126, 3410]",1.0,False
Yuncheng,35.0304,110.99799999999999,China,4860000.0,0.6113958182906216,1.937280563128666,[6430],1.0,False
Pingdingshan,33.735,113.2999,China,4838000.0,0.5887868231602871,1.9774562971803236,[3375],0.0,False
Huai’an,33.5,119.1331,China,4799889.0,0.5846852994181004,2.079264843107657,[7898],0.0,False
Xinpu,34.5906,119.1801,China,4790000.0,0.6037198602403506,2.080085147856094,[6383],0.0,False
Guilin,25.2667,110.2833,China,4747963.0,0.4409871061136513,1.9248066949646625,[3372],1.0,False
Huaihua,27.5494,109.9592,China,4741948.0,0.4808277369489258,1.9191500828589487,[7519],0.0,False
Jiujiang,29.7048,116.0021,China,4728778.0,0.5184465636464116,2.0246185842277145,[6381],1.0,False
Anqing,30.5,117.0333,China,4723000.0,0.5323254218582705,2.0426164194742795,[6427],1.0,False
Boston,42.3188,-71.0846,United States,4688346.0,0.7386023954929763,-1.2406603174631612,[3448],1.0,False
Huanglongsi,34.7936,114.3403,China,4676159.0,0.6072628786218989,1.9956147027180724,[3375],0.0,False
Xiaoganzhan,30.9273,113.911,China,4665000.0,0.5397832137520423,1.9881220042392609,[3376],0.0,False
Changzhou,31.8122,119.9692,China,4592431.0,0.5552276323029401,2.0938575409835813,[4109],1.0,False
Barcelona,41.3825,2.1769,Spain,4588000.0,0.7222608777065535,0.03799407248666456,[1218],1.0,False
Chenzhou,25.7989,113.0267,China,4581778.0,0.4502757483927651,1.972688057663875,[10942],0.0,False
Wuxi,31.5667,120.2833,China,4580000.0,0.5509428489892939,2.0993396201640957,[6390],1.0,False
Zibo,36.7831,118.0497,China,4530597.0,0.6419862040903261,2.06035594599155,[4108],0.0,False
Jiaxing,30.7522,120.75,China,4501657.0,0.5367271422318002,2.1074850717831533,[3386],0.0,False
Dalian,38.9131,121.61,China,4480000.0,0.6791617171578055,2.122494903350304,[3404],1.0,False
Harbin,45.75,126.6333,China,4458000.0,0.7984881327874057,2.2101680276657354,[3400],1.0,False
Yangzhou,32.3912,119.4363,China,4459000.0,0.5653330886719873,2.0845566813997034,[8876],1.0,False
Yibin,28.7596,104.64,China,4456000.0,0.5019497115565612,1.8263125292868665,[4110],1.0,False
Jiangmen,22.5833,113.0833,China,4448871.0,0.39415294096563547,1.973675914020504,[7457],0.0,False
Johannesburg,-26.2044,28.0416,South Africa,4434827.0,-0.4573530585096021,0.4894182475272419,"[803, 813, 820, 5603]",1.0,False
Meizhou,24.2998,116.1191,China,4378800.0,0.4241115175761181,2.026660619452548,[6354],0.0,False
Chifeng,42.2663,118.9223,China,4376600.0,0.7376860976356794,2.0755856890444533,[6342],1.0,False
Casablanca,33.5992,-7.62,Morocco,4370000.0,0.5864166660360788,-0.1329940890019679,[1074],1.0,False
Guiyang,26.5794,106.7078,China,4365000.0,0.4638980432045808,1.8624024475596053,[3394],1.0,False
Langfang,39.5196,116.7006,China,4358839.0,0.689747139071151,2.0368097090528945,[10209],0.0,False
Zhangjiakou,40.8108,114.8811,China,4345491.0,0.7122828303729019,2.0050534433128577,[10940],1.0,False
İzmir,38.4127,27.1384,Turkey,4320519.0,0.6704280895808259,0.4736544337232291,[1707],0.0,False
Linfen,36.0812,111.5087,China,4316610.0,0.629735738070578,1.9461939596186009,[11545],0.0,False
Wenzhou,27.9991,120.6561,China,4310000.0,0.4886764825951443,2.1058462076155298,[6392],1.0,False
Monterrey,25.6667,-100.3,Mexico,4295000.0,0.44796842312162855,-1.7505652397503124,"[1784, 1825]",1.0,False
Luzhou,28.8918,105.4409,China,4291000.0,0.5042570368276977,1.840290871266089,[6399],1.0,False
Jiangguanchi,34.0244,113.8201,China,4289000.0,0.5938378060155587,1.9865354999491975,[3375],0.0,False
Neijiang,29.5872,105.0635,China,4238000.0,0.5163940564460663,1.8337039986690624,[6399],0.0,False
Phoenix,33.5722,-112.0891,United States,4219697.0,0.5859454271380403,-1.956323850597176,"[3462, 3506, 8874]",1.0,False
Yanjiang,30.1256,104.6397,China,4217000.0,0.5257909091388037,1.8263072932991105,[3395],0.0,False
Yiyang,28.5833,112.3333,China,4174000.0,0.4988726960852952,1.960585944630546,[6352],0.0,False
Zhaoqing,23.046999999999997,112.465,China,4151700.0,0.4022460327071332,1.9628845432554227,[7457],0.0,False
Hengshui,37.7348,115.686,China,4150000.0,0.6585965025815562,2.0191015984621603,[6347],0.0,False
Guigang,23.0961,109.6092,China,4118808.0,0.4031029893698623,1.9130414304769687,[6356],0.0,False
Xiaoxita,30.7083,111.2803,China,4115000.0,0.5359609426901747,1.9422076276070457,[6361],0.0,False
Xiamen,24.4797,118.0819,China,4110000.0,0.4272513649004559,2.0609179420106924,[3383],1.0,False
Chuzhou,32.3062,118.3115,China,4110000.0,0.5638495588077921,2.064925217973271,[3388],0.0,False
Fuzhou,27.9814,116.3577,China,4047200.0,0.4883675593175413,2.030824975047806,[3385],1.0,False
Amman,31.95,35.9333,Jordan,4007526.0,0.5576326960121882,0.6271543961068785,"[2170, 2171]",1.0,False
Jeddah,21.5428,39.1728,Saudi Arabia,3976000.0,0.3759927900986344,0.6836943372252348,"[2071, 2072]",1.0,False
Sialkot City,32.5,74.5333,Pakistan,3893672.0,0.5672320068981571,1.3008514873766897,[6776],0.0,False
Huizhou,23.1115,114.4152,China,3875000.0,0.4033717700746695,1.9969219543278158,[7458],1.0,False
Qingyuan,23.6842,113.0507,China,3874000.0,0.413367270700841,1.9731069366843537,[3370],0.0,False
Zhuzhou,27.8407,113.1469,China,3855609.0,0.4859118810599853,1.974785943424772,[14091],0.0,False
Wuhu,31.334,118.3622,China,3842100.0,0.5468814678199032,2.0658100999040325,[12054],1.0,False
Hechi,23.0965,109.6091,China,3830000.0,0.4031099706868703,1.9130396851477167,[10363],1.0,False
Seattle,47.6211,-122.3244,United States,3789215.0,0.8311449884214717,-2.1349635355265515,"[3577, 3726]",1.0,False
Loudi,27.7378,111.9974,China,3785627.0,0.4841159372596832,1.9547233836730973,[14091],0.0,False
Binzhou,37.3806,118.0125,China,3779200.0,0.6524145463709924,2.059706683509808,[4145],0.0,False
Liuzhou,24.3181,109.4069,China,3758704.0,0.42443091282923306,1.9095106294001842,[6356],1.0,False
Yokohama,35.4333,139.6333,Japan,3748781.0,0.6184277498469068,2.4370608304249983,[2350],0.0,False
Baojishi,34.3609,107.1751,China,3738700.0,0.5997108389485196,1.870558371154175,[8889],0.0,False
Guang’an,30.4673,106.6336,China,3723000.0,0.5317546991928684,1.8611074132546253,[6401],0.0,False
Hanzhong,33.0794,107.02600000000001,China,3700000.0,0.5773444445842122,1.867956085239451,[6364],1.0,False
Kabul,34.5328,69.1658,Afghanistan,3678034.0,0.6027110599326979,1.207170939775894,"[2050, 7036]",1.0,False
Zaozhuang,34.8667,117.55,China,3650000.0,0.6085387143051071,2.0516345357193337,[6385],0.0,False
Berlin,52.5167,13.3833,Germany,3644826.0,0.916589327282106,0.2335826497821571,"[337, 343, 351]",1.0,False
Anshan,41.1066,122.9895,China,3645884.0,0.7174455143003011,2.146571720381566,[9844],1.0,False
Deyang,31.1289,104.395,China,3636000.0,0.5433017975240628,1.82203647261948,[6400],0.0,False
Lanzhou,36.0617,103.8318,China,3616163.0,0.6293953988664391,1.812206778272248,"[3378, 6431]",1.0,False
Chengde,40.9739,117.9322,China,3610000.0,0.7151294623829046,2.0583051841204565,[13478],1.0,False
San Francisco,37.7562,-122.443,United States,3592294.0,0.6589700030414829,-2.137033496019417,[3469],1.0,False
